"species","no_detections","no_countries","p_years_miss","p_years_pres","no_sampledyears"
"Eukiefferiella lobifera",3,1,94.3,5.7,3
"Eukiefferiella minor",3,1,94.3,5.7,3
"Eunapius fragilis",2,1,96.2,3.8,2
"Euphorbia amygdaloides ssp. amygdaloides",4,1,94.3,5.7,3
"Euphylidorea lineola",14,1,90.6,9.4,5
"Eurylophella karelica",1,1,98.1,1.9,1
"Eutonia barbipes",1,1,98.1,1.9,1
"Faxonius limosus",141,4,34,66,35
"Feuerborniella obscura",1,1,98.1,1.9,1
"Fredericella sultana",78,1,58.5,41.5,22
"Galba truncatula",283,10,39.6,60.4,32
"Gammarus balcanicus",82,2,66,34,18
"Gammarus duebeni",113,3,69.8,30.2,16
"Gammarus fossarum",231,8,43.4,56.6,30
"Gammarus lacustris",61,5,54.7,45.3,24
"Gammarus pulex",7763,9,15.1,84.9,45
"Gammarus roeselii",477,6,34,66,35
"Gammarus tigrinus",554,4,28.3,71.7,38
"Gammarus zaddachi",96,3,62.3,37.7,20
"Georthocladius luteicornis",1,1,98.1,1.9,1
"Gerris argentatus",51,3,73.6,26.4,14
"Gerris gibbifer",3,2,94.3,5.7,3
"Gerris lacustris",400,9,34,66,35
"Gerris lateralis",34,3,60.4,39.6,21
"Gerris odontogaster",15,5,79.2,20.8,11
"Gerris thoracicus",20,3,71.7,28.3,15
"Girardia tigrina",861,6,15.1,84.9,45
"Glossiphonia complanata",4725,14,9.4,90.6,48
"Glossiphonia concolor",149,5,50.9,49.1,26
"Glossiphonia nebulosa",36,3,77.4,22.6,12
"Glossiphonia paludosa",33,3,73.6,26.4,14
"Glossiphonia verrucata",25,2,75.5,24.5,13
"Glossosoma boltoni",100,5,64.2,35.8,19
"Glossosoma conformis",29,3,71.7,28.3,15
"Glossosoma intermedium",51,4,66,34,18
"Glossosoma privatum",57,1,84.9,15.1,8
"Glyphotaelius pellucidus",257,8,49.1,50.9,27
"Glyptotendipes barbipes",2,2,96.2,3.8,2
"Gnophomyia lugubris",4,1,98.1,1.9,1
"Goera pilosa",1029,13,34,66,35
"Gomphus pulchellus",15,2,75.5,24.5,13
"Gomphus vulgatissimus",366,8,50.9,49.1,26
"Gonomyia lucidula",1,1,98.1,1.9,1
"Gordius aquaticus",5,3,90.6,9.4,5
"Grammotaulius nigropunctatus",1,1,98.1,1.9,1
"Grammotaulius nitidus",1,1,98.1,1.9,1
"Graphoderus austriacus",1,1,98.1,1.9,1
"Graphoderus bilineatus",1,1,98.1,1.9,1
"Graphoderus cinereus",3,2,94.3,5.7,3
"Graptodytes bilineatus",1,1,98.1,1.9,1
"Graptodytes pictus",205,5,32.1,67.9,36
"Guadalgenus franzi",8,1,92.5,7.5,4
"Guttipelopia guttipennis",4,3,92.5,7.5,4
"Gyraulus acronicus",154,2,67.9,32.1,17
"Gyraulus albus",1569,11,26.4,73.6,39
"Gyraulus crista",562,9,43.4,56.6,30
"Gyraulus parvus",54,7,62.3,37.7,20
"Gyraulus riparius",3,2,96.2,3.8,2
"Gyraulus rossmaessleri",2,1,96.2,3.8,2
"Gyrinus aeratus",17,4,75.5,24.5,13
"Gyrinus marinus",16,4,73.6,26.4,14
"Gyrinus natator",2,2,98.1,1.9,1
"Gyrinus opacus",3,1,94.3,5.7,3
"Gyrinus paykulli",8,3,88.7,11.3,6
"Gyrinus substriatus",189,6,43.4,56.6,30
"Gyrinus urinator",38,1,71.7,28.3,15
"Habroleptoides confusa",159,5,50.9,49.1,26
"Habroleptoides modesta",1,1,98.1,1.9,1
"Habrophlebia fusca",246,7,45.3,54.7,29
"Habrophlebia lauta",125,4,49.1,50.9,27
"Haematopota crassicornis",1,1,98.1,1.9,1
"Haemopis sanguisuga",115,10,50.9,49.1,26
"Halesus digitatus",344,10,54.7,45.3,24
"Halesus radiatus",2032,10,41.5,58.5,31
"Halesus tesselatus",174,6,58.5,41.5,22
"Haliplus confinis",26,3,75.5,24.5,13
"Haliplus flavicollis",41,4,58.5,41.5,22
"Haliplus fluviatilis",302,5,37.7,62.3,33
"Haliplus fulvus",6,4,88.7,11.3,6
"Haliplus furcatus",4,2,92.5,7.5,4
"Haliplus heydeni",37,4,67.9,32.1,17
"Haliplus immaculatus",99,5,50.9,49.1,26
"Haliplus laminatus",81,5,43.4,56.6,30
"Haliplus lineatocollis",380,5,49.1,50.9,27
"Haliplus lineolatus",5,2,90.6,9.4,5
"Haliplus obliquus",10,1,84.9,15.1,8
"Haliplus ruficollis",56,8,66,34,18
"Haliplus sibiricus",75,4,41.5,58.5,31
"Haliplus variegatus",4,2,94.3,5.7,3
"Haliplus varius",1,1,98.1,1.9,1
"Haplotaxis gordioides",21,5,75.5,24.5,13
"Harnischia curtilamellata",13,1,81.1,18.9,10
"Harnischia fuscimanus",2,1,96.2,3.8,2
"Hebrus pusillus",4,2,94.3,5.7,3
"Hebrus ruficeps",1,1,98.1,1.9,1
"Heleniella ornaticollis",11,1,88.7,11.3,6
"Heleniella serratosioi",3,1,94.3,5.7,3
"Helobdella stagnalis",3091,14,24.5,75.5,40
